Chem,220,223,226,229,232,235,238,241,244,247,250,253,256,259,262,265,268,271,274,277,280,283,286,289,292,295,298,301,304,307,310,313,316,319,322,325,328,331,334,337,340,343,346,349,352,355,358,361,364,367,370,373,376,379,382,385,388,391,394,397,400,403,406,409,412,415,418,421,424,427,430,433,436,439,442,445,448,451,454,457,460,463,466,469,472,475,478,481,484,487,490,493,496,499,502,505,508,511,514,517,520,523,526,529,532,535,538,541,544,547,550,553,556,559,562,565,568,571,574,577,580,583,586,589,592,595,598,601,604,607,610,613,616,619,622,625,628,631,634,637,640,643,646,649,652,655,658,661,664,667,670,673,676,679,682,685,688,691,694,697,700,703,706,709,712,715,718,721,724,727,730,733,736,739,742,745,748
rna,0.138,0.137,0.118,0.107,0.097,0.083,0.081,0.083,0.089,0.098,0.104,0.112,0.116,0.123,0.122,0.113,0.106,0.098,0.088,0.074,0.061,0.049,0.038,0.03,0.022,0.015,0.011,0.008,0.008,0.008,0.006,0.004,0.004,0.004,0.005,0.006,0.005,0.005,0.007,0.005,0.006,0.005,0.004,0.006,0.004,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.006,0.004,0.005,0.006,0.006,0.006,0.006,0.005,0.006,0.007,0.008,0.007,0.005,0.006,0.006,0.007,0.005,0.007,0.007,0.005,0.005,0.008,0.007,0.005,0.005,0.006,0.006,0.008,0.009,0.009,0.008,0.008,0.011,0.008,0.006,0.005,0.005,0.007,0.009,0.006,0.005,0.004,0.005,0.007,0.009,0.002,0.004,0.009,0.007,0.008,0.008,0.01,0.008,0.007,0.009,0.009,0.006,0.01,0.009,0.004,0.007,0.006,0.005,0.006,0.005,0.007,0.011,0.009,0.007,0.006,0.008,0.009,0.007,0.008,0.008,0.004,0.004,0.002,0.004,0.008,0.004,0,0.004,0.007,0.003,0.003,0.006,0.002,0.004,0.005,0.002,0.004,0.007,0.006,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.006,0.012,0.01,0.001,0.003,0.002,0,-0.001,0.002,0.011,0.008,0.006,0.007
rna,0.152,0.141,0.124,0.108,0.098,0.086,0.081,0.084,0.09,0.1,0.106,0.113,0.119,0.124,0.123,0.114,0.108,0.099,0.089,0.075,0.062,0.049,0.038,0.029,0.021,0.014,0.011,0.009,0.008,0.008,0.006,0.005,0.005,0.005,0.006,0.006,0.005,0.004,0.006,0.005,0.008,0.005,0.003,0.006,0.004,0.006,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.008,0.008,0.008,0.005,0.006,0.006,0.005,0.004,0.005,0.007,0.004,0.005,0.008,0.006,0.007,0.008,0.005,0.006,0.008,0.009,0.008,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.004,0.005,0.006,0.006,0.005,0.004,0.004,0.007,0.011,0.011,0.01,0.009,0.008,0.013,0.009,0.007,0.006,0.003,0.007,0.011,0.007,0.007,0.006,0.006,0.01,0.011,0.001,0.003,0.011,0.007,0.009,0.007,0.011,0.009,0.009,0.009,0.009,0.003,0.008,0.01,0.004,0.007,0.007,0.006,0.007,0.007,0.007,0.011,0.01,0.007,0.007,0.009,0.008,0.006,0.007,0.008,0.004,0.002,0.001,0.005,0.01,0.005,0.001,0.006,0.006,0.004,0.005,0.008,0,0,0.001,0,0.001,0.006,0.006,0.002,0.002,0.001,0,0.003,0.005,0.005,0.001,0.005,0.016,0.014,0.003,0.004,0.002,0.001,-0.002,0,0.013,0.006,0.003,0.009
rna,0.147,0.135,0.125,0.114,0.102,0.089,0.087,0.089,0.094,0.104,0.111,0.118,0.121,0.127,0.128,0.118,0.111,0.104,0.094,0.079,0.066,0.052,0.041,0.033,0.025,0.017,0.014,0.011,0.011,0.01,0.009,0.007,0.007,0.008,0.008,0.008,0.007,0.008,0.008,0.007,0.009,0.007,0.007,0.008,0.006,0.008,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.01,0.01,0.01,0.007,0.008,0.009,0.007,0.006,0.006,0.009,0.006,0.007,0.008,0.008,0.009,0.011,0.007,0.008,0.009,0.011,0.01,0.007,0.008,0.008,0.011,0.008,0.009,0.009,0.008,0.007,0.01,0.009,0.007,0.005,0.007,0.009,0.011,0.011,0.01,0.009,0.01,0.012,0.009,0.007,0.006,0.006,0.008,0.013,0.01,0.008,0.007,0.007,0.01,0.012,0.005,0.007,0.013,0.008,0.009,0.009,0.011,0.011,0.01,0.011,0.011,0.005,0.01,0.01,0.006,0.008,0.008,0.007,0.009,0.008,0.008,0.012,0.008,0.009,0.008,0.01,0.011,0.008,0.011,0.012,0.007,0.005,0.003,0.005,0.008,0.004,0,0.004,0.007,0.004,0.009,0.01,0.004,0.005,0.007,0.004,0.004,0.008,0.008,0.004,0.005,0.005,0.004,0.003,0.003,0.005,0.003,0.007,0.016,0.011,0.004,0.004,0.005,0.002,-0.002,0.003,0.014,0.012,0.005,0.006
rna,0.162,0.152,0.126,0.112,0.102,0.088,0.086,0.088,0.093,0.103,0.109,0.116,0.119,0.126,0.126,0.118,0.11,0.103,0.094,0.078,0.066,0.052,0.042,0.032,0.024,0.018,0.015,0.012,0.01,0.009,0.009,0.007,0.007,0.006,0.007,0.008,0.007,0.006,0.008,0.007,0.008,0.007,0.006,0.008,0.005,0.007,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.01,0.009,0.009,0.007,0.008,0.008,0.007,0.006,0.006,0.008,0.006,0.006,0.007,0.007,0.007,0.009,0.008,0.008,0.008,0.01,0.01,0.008,0.008,0.008,0.009,0.008,0.008,0.007,0.007,0.007,0.009,0.009,0.006,0.006,0.007,0.008,0.01,0.009,0.01,0.009,0.009,0.01,0.008,0.007,0.006,0.007,0.008,0.011,0.009,0.007,0.005,0.007,0.009,0.009,0.005,0.006,0.011,0.007,0.008,0.008,0.007,0.01,0.009,0.01,0.01,0.006,0.01,0.01,0.006,0.008,0.007,0.006,0.005,0.006,0.007,0.012,0.008,0.007,0.007,0.009,0.009,0.007,0.009,0.009,0.006,0.004,0.003,0.005,0.008,0.004,0,0.004,0.005,0.002,0.007,0.007,0.004,0.005,0.007,0.004,0.003,0.009,0.008,0.004,0.005,0.006,0.003,0.002,0.001,0.005,0.004,0.008,0.013,0.01,0.003,0.004,0.003,0.001,-0.001,0.003,0.011,0.008,0.007,0.007
rna,0.113,0.11,0.095,0.086,0.076,0.064,0.058,0.057,0.059,0.062,0.065,0.068,0.068,0.072,0.073,0.068,0.063,0.06,0.055,0.046,0.039,0.033,0.027,0.022,0.018,0.014,0.012,0.01,0.01,0.009,0.008,0.006,0.006,0.006,0.005,0.006,0.005,0.005,0.007,0.005,0.007,0.006,0.005,0.005,0.003,0.007,0.008,0.007,0.006,0.008,0.006,0.005,0.005,0.009,0.008,0.007,0.004,0.005,0.006,0.004,0.004,0.004,0.006,0.005,0.006,0.007,0.006,0.006,0.009,0.006,0.007,0.006,0.008,0.008,0.006,0.005,0.005,0.007,0.006,0.006,0.007,0.008,0.005,0.007,0.007,0.003,0.002,0.003,0.006,0.01,0.008,0.008,0.007,0.007,0.008,0.006,0.006,0.005,0.003,0.006,0.011,0.007,0.005,0.004,0.005,0.007,0.01,0.004,0.005,0.009,0.006,0.005,0.005,0.006,0.007,0.007,0.008,0.008,0.002,0.006,0.005,0.004,0.005,0.005,0.005,0.006,0.007,0.004,0.008,0.005,0.006,0.005,0.006,0.006,0.004,0.007,0.008,0.005,0.003,0.001,0.004,0.007,0.002,0,0.002,0.003,0,0.005,0.006,0.003,0.003,0.005,0.001,0.001,0.006,0.008,0.001,0.002,0,-0.001,0.001,0.004,0.006,0.002,0.005,0.012,0.008,0,0,0.001,-0.001,-0.002,0.001,0.013,0.007,0.002,0.001
rna,0.108,0.105,0.092,0.082,0.074,0.063,0.056,0.056,0.057,0.06,0.064,0.067,0.067,0.071,0.07,0.066,0.062,0.058,0.052,0.045,0.038,0.031,0.025,0.02,0.015,0.011,0.01,0.009,0.009,0.008,0.006,0.005,0.005,0.004,0.005,0.007,0.006,0.006,0.008,0.006,0.007,0.006,0.005,0.006,0.004,0.006,0.007,0.007,0.006,0.007,0.007,0.006,0.006,0.008,0.008,0.008,0.006,0.007,0.008,0.006,0.006,0.006,0.007,0.004,0.005,0.006,0.006,0.007,0.009,0.006,0.007,0.006,0.01,0.01,0.008,0.007,0.007,0.009,0.007,0.007,0.008,0.008,0.007,0.008,0.007,0.005,0.004,0.005,0.007,0.009,0.009,0.008,0.008,0.009,0.01,0.007,0.007,0.006,0.005,0.007,0.011,0.007,0.006,0.004,0.007,0.009,0.01,0.005,0.005,0.011,0.008,0.008,0.007,0.007,0.009,0.008,0.009,0.009,0.005,0.008,0.009,0.004,0.008,0.007,0.006,0.007,0.005,0.005,0.011,0.008,0.007,0.006,0.009,0.01,0.007,0.011,0.009,0.005,0.003,0.001,0.003,0.007,0.001,-0.002,0.003,0.004,0.001,0.007,0.006,0.003,0.006,0.007,0.001,0.004,0.009,0.009,0.003,0.004,0.004,0.003,0.003,0.003,0.005,0.003,0.005,0.014,0.009,0,0.002,0.004,-0.001,0,0.003,0.012,0.006,0.005,0.004
rna,0.102,0.106,0.09,0.08,0.072,0.061,0.055,0.054,0.055,0.059,0.062,0.065,0.065,0.068,0.068,0.063,0.059,0.055,0.049,0.041,0.033,0.026,0.022,0.018,0.012,0.007,0.006,0.006,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.003,0.002,0.001,0.002,0.002,0.003,0.004,0.003,0.002,0.004,0.003,0.003,0.003,0.004,0.004,0.005,0.004,0.004,0.003,0.003,0.001,0.003,0.005,0.003,0.003,0.003,0.003,0.002,0.004,0.001,0.002,0.003,0.005,0.005,0.004,0.003,0.002,0.003,0.005,0.005,0.004,0.003,0,0.004,0.004,0.004,0.003,0,0,0.003,0.003,0.003,0.005,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.006,0.002,0.003,0.005,0.004,0.004,0.007,0.004,0.001,0.001,0.002,0.004,0.005,0.004,0.003,0.003,0.001,0.004,0.003,0.004,0.001,0.001,0.003,0.004,0.005,0.005,0.006,0,0.002,0.002,0.005,0.005,0.005,0.004,0.004,0.006,0.007,0.005,0.003,0.001,0.004,0.003,0.003,0.004,0.001,0.004,0.001,0.003,0.006,0.006,0.002,0.006,0.002,0.003,0.003,0.007,0.002,0.002,0.001,-0.002,0.002,0.005,0.003,-0.003,0.003,0.007,0.006,0,0.001,0.004,0.006,0.003,0.004,0.007,0.007,0,0
rna,0.097,0.091,0.079,0.068,0.062,0.051,0.042,0.04,0.039,0.04,0.04,0.04,0.04,0.042,0.042,0.038,0.036,0.034,0.03,0.027,0.023,0.019,0.016,0.012,0.009,0.006,0.005,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.001,0.004,0.002,0.002,0.003,0.001,0.003,0.004,0.003,0.002,0.004,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.001,0.004,0.006,0.003,0.002,0.002,0.003,0.003,0.005,0.003,0.003,0.003,0.003,0.005,0.005,0.002,0.003,0.004,0.005,0.002,0.004,0.005,0.002,0.004,0.004,0.004,0.004,0.002,0.003,0.003,0.003,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.002,0.003,0.006,0.003,0.003,0.004,0.004,0.004,0.007,0.006,0.002,0.003,0.004,0.004,0.003,0.003,0.004,0.005,0.004,0.006,0.002,0.003,0.003,0.002,0.004,0.005,0.005,0.005,0.005,0.002,0.004,0.003,0.004,0.006,0.005,0.004,0.003,0.005,0.003,0.005,0.004,0.002,0.004,0.003,0.001,0.001,0,0.002,0.002,0.004,0.005,0.004,0.003,0.006,0,0.002,0.002,0.006,0.002,0.002,0.002,-0.002,0.001,0.003,0.003,-0.001,0.005,0.007,0.004,0,0,0.006,0.006,0,-0.001,0.006,0.006,0.001,0.001
rna,0.084,0.087,0.079,0.071,0.062,0.049,0.044,0.04,0.039,0.039,0.04,0.04,0.039,0.042,0.042,0.038,0.036,0.034,0.03,0.026,0.023,0.019,0.015,0.011,0.009,0.006,0.006,0.006,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.001,0.004,0.003,0.002,0.004,0.002,0.004,0.005,0.005,0.003,0.007,0.005,0.004,0.003,0.005,0.005,0.004,0.005,0.005,0.003,0.004,0.002,0.004,0.008,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.005,0.006,0.005,0.003,0.004,0.005,0.004,0.003,0.005,0.005,0.002,0.003,0.005,0.004,0.003,0.003,0.005,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.005,0.004,0.002,0.004,0.006,0.005,0.005,0.005,0.006,0.004,0.006,0.007,0.002,0.003,0.003,0.003,0.003,0.004,0.005,0.006,0.004,0.007,0.004,0.005,0.005,0.005,0.004,0.006,0.004,0.004,0.006,0.003,0.005,0.004,0.003,0.007,0.006,0.006,0.004,0.004,0.003,0.009,0.003,0.002,0.004,0.004,0.003,0,0,0.002,0.003,0.004,0.003,0.004,0.002,0.007,-0.001,0,0.002,0.006,0.005,0.004,0.004,0,0.001,0.004,0.004,0,0.007,0.009,0.004,0,0.002,0.005,0.006,0,-0.001,0.007,0.004,-0.001,0.001
